treat,总流量,高峰流量,平均乘距,生活类,休闲类,文化类,商务类,设施类,人口
False,410.0,256.0,6063.212855259863,75.0,165.0,14.0,17.0,8.0,5728.0
False,954.0,512.0,4162.856849808453,141.0,224.0,33.0,17.0,36.0,6720.0
True,48440.0,27196.0,7314.694896999957,7.0,83.0,1.0,4.0,6.0,9942.0
True,18.0,14.0,8315.5251860959,395.0,505.0,80.0,160.0,178.0,3238.0
True,142.0,86.0,3672.1421367771054,347.0,524.0,90.0,125.0,134.0,4267.0
False,1304.0,966.0,302.85357514308805,67.0,262.0,27.0,10.0,4.0,978.0
False,2588.0,1346.0,3248.188463027302,117.0,1378.0,8.0,14.0,26.0,2312.0
False,66.0,36.0,1120.190472404497,6.0,8.0,0.0,1.0,6.0,510.0
False,3876.0,2148.0,10710.357289255411,87.0,96.0,7.0,12.0,22.0,4066.0
False,6668.0,3936.0,1970.9864342132016,45.0,114.0,8.0,6.0,8.0,6580.0
False,2938.0,1606.0,4802.307273652997,9.0,47.0,3.0,6.0,6.0,209.0
False,33314.0,17884.0,4898.692764718952,22.0,85.0,5.0,9.0,4.0,5854.0
True,12346.0,5930.0,1827.189472913896,86.0,144.0,8.0,17.0,16.0,4627.0
True,1118.0,742.0,2105.437085873892,118.0,283.0,22.0,23.0,28.0,6122.0
True,154.0,92.0,11452.591451012113,250.0,914.0,63.0,81.0,96.0,3478.0
True,17990.0,10096.0,5218.282796970947,113.0,241.0,43.0,31.0,48.0,3610.0
True,5322.0,2784.0,3395.272504515433,14.0,12.0,0.0,6.0,2.0,1347.0
False,1144.0,624.0,3163.2151808261665,1.0,15.0,1.0,1.0,0.0,80.0
False,810.0,452.0,3166.840805503679,0.0,0.0,0.0,0.0,0.0,1161.0
True,8994.0,5144.0,2551.4481219332574,65.0,123.0,12.0,21.0,50.0,2442.0
False,1822.0,966.0,2404.825260932512,103.0,286.0,25.0,11.0,14.0,1604.0
False,40.0,22.0,3921.663113794195,0.0,3.0,0.0,2.0,2.0,8896.0
False,3018.0,1532.0,3572.8479304188586,72.0,319.0,29.0,6.0,12.0,2030.0
False,424.0,270.0,1589.3480639895445,2.0,5.0,4.0,0.0,10.0,29.0
True,25708.0,14394.0,2354.795917452553,318.0,739.0,49.0,112.0,124.0,5478.0
True,33578.0,18436.0,8846.355718053655,107.0,295.0,28.0,143.0,58.0,4449.0
True,35158.0,18852.0,3452.5030163773195,404.0,1261.0,60.0,145.0,120.0,5743.0
True,6220.0,3588.0,1489.107247883341,125.0,671.0,38.0,36.0,62.0,5680.0
False,34.0,22.0,1965.1459822743789,23.0,14.0,5.0,9.0,10.0,5541.0
False,382.0,244.0,1628.025699958023,52.0,59.0,24.0,17.0,32.0,5878.0
True,5638.0,2842.0,5674.540206283863,51.0,149.0,11.0,31.0,64.0,4079.0
False,4828.0,3008.0,3423.4091645340563,19.0,31.0,1.0,20.0,6.0,3072.0
False,6622.0,3634.0,2098.667100207906,98.0,236.0,16.0,7.0,8.0,1671.0
False,1090.0,522.0,3417.3642655706158,18.0,53.0,5.0,3.0,2.0,2253.0
False,158.0,98.0,2113.2464750788945,8.0,25.0,2.0,5.0,6.0,5161.0
False,2070.0,1198.0,3334.3266205658806,11.0,8.0,2.0,2.0,0.0,1551.0
False,152.0,94.0,1394.3878108892598,17.0,18.0,5.0,3.0,4.0,5838.0
False,5136.0,2876.0,932.2829543210734,16.0,23.0,0.0,6.0,2.0,2897.0
True,11526.0,5706.0,6614.012128578367,217.0,313.0,43.0,146.0,142.0,7959.0
False,1258.0,728.0,2501.8733724519984,54.0,201.0,18.0,14.0,12.0,1271.0
True,164.0,130.0,8088.510422467315,150.0,255.0,102.0,118.0,124.0,1856.0
False,29298.0,16144.0,3586.672881848292,79.0,172.0,6.0,10.0,6.0,9314.0
True,18542.0,9266.0,10252.28831842334,402.0,725.0,100.0,220.0,140.0,10016.0
True,1340.0,806.0,2308.6472637793786,54.0,121.0,8.0,41.0,16.0,1611.0
True,2958.0,1760.0,1212.2801303761482,54.0,121.0,8.0,41.0,16.0,1611.0
False,412.0,262.0,2300.9258810466526,0.0,1.0,0.0,9.0,2.0,1424.0
True,630.0,354.0,13197.575275807008,393.0,1048.0,48.0,128.0,92.0,15218.0
False,584.0,360.0,2450.7912192035005,0.0,1.0,1.0,0.0,0.0,1100.0
False,3932.0,2098.0,2400.8361247430544,1.0,1.0,0.0,2.0,2.0,1877.0
False,6664.0,3794.0,4693.351278549625,49.0,93.0,8.0,12.0,14.0,5457.0
False,1956.0,1164.0,3202.2414847135515,38.0,97.0,7.0,8.0,2.0,1094.0
False,3614.0,1950.0,3691.259869001856,13.0,7.0,0.0,2.0,2.0,1951.0
False,2618.0,1332.0,2350.889329576935,0.0,0.0,0.0,0.0,0.0,4755.0
True,13312.0,6340.0,6627.563507335982,122.0,279.0,23.0,67.0,108.0,14759.0
True,74.0,56.0,6353.174355972121,182.0,389.0,42.0,106.0,178.0,23762.0
True,20062.0,10356.0,9216.412944238076,172.0,218.0,76.0,83.0,100.0,30136.0
True,7418.0,4152.0,5773.7303100070585,180.0,909.0,80.0,163.0,140.0,13557.0
False,1384.0,820.0,2296.314131750637,0.0,0.0,1.0,0.0,0.0,5432.0
False,22.0,10.0,1996.429761276062,12.0,27.0,0.0,7.0,8.0,2097.0
False,806.0,402.0,1986.0617316006976,38.0,71.0,4.0,9.0,20.0,2543.0
True,15780.0,7810.0,3991.690845796673,74.0,316.0,12.0,12.0,16.0,2041.0
False,498.0,296.0,3543.032423718108,8.0,2.0,2.0,0.0,12.0,2280.0
False,12682.0,6940.0,2617.3686331794047,29.0,60.0,16.0,4.0,20.0,3274.0
True,2740.0,1580.0,3601.913275525352,27.0,49.0,33.0,10.0,30.0,10652.0
True,43402.0,23178.0,6773.32778099099,35.0,79.0,36.0,20.0,56.0,14357.0
True,19354.0,10636.0,7517.141769021095,108.0,186.0,58.0,70.0,100.0,18706.0
True,14718.0,7728.0,7134.941094906314,42.0,65.0,22.0,43.0,66.0,3399.0
True,8560.0,4306.0,7842.537145921317,14.0,34.0,23.0,46.0,26.0,2929.0
False,346.0,180.0,1695.374658572215,1.0,2.0,3.0,3.0,20.0,1103.0
